Ground Truth,video,filename,minimum_thresh,frames(no of frames eye closed)
0,<VideoCapture 000002279CA66310>,1.mp4,0.20518827818043867,174
0,<VideoCapture 000002279E60F0B0>,10.mp4,0.24955050511035337,175
0,<VideoCapture 000002279E60F0D0>,11.mp4,0.2167792257154617,153
0,<VideoCapture 000002279E60F070>,12.mp4,0.19691159012366113,230
0,<VideoCapture 000002279E60F050>,13.mp4,0.22558811781386634,61
0,<VideoCapture 000002279E60F0F0>,14.mp4,0.21044996799935484,5
0,<VideoCapture 000002279E60F030>,15.mp4,0.22904724757348432,43
0,<VideoCapture 000002279E60F110>,16.mp4,0.21354147596020306,430
0,<VideoCapture 000002279E60F130>,17.mp4,0.1900168088888167,64
0,<VideoCapture 000002279E60F150>,18.mp4,0.24675726486925612,214
0,<VideoCapture 000002279E60F170>,19.mp4,0.18339064384232642,54
0,<VideoCapture 000002279E60F190>,2.mp4,0.2257754533508777,110
0,<VideoCapture 000002279E60F1B0>,20.mp4,0.24386212871634266,118
0,<VideoCapture 000002279E60F1D0>,21.mp4,0.24444444444444444,49
0,<VideoCapture 000002279E60F1F0>,22.mp4,0.2358995284210443,92
0,<VideoCapture 000002279E60F210>,23.mp4,0.245168889885564,26
0,<VideoCapture 000002279E60F230>,24.mp4,0.2495040988762475,72
0,<VideoCapture 000002279E60F250>,25.mp4,0.24675888722567146,125
0,<VideoCapture 000002279E60F270>,26.mp4,0.2471387915225479,66
0,<VideoCapture 000002279E60F290>,27.mp4,0.24201864123787895,24
0,<VideoCapture 000002279E60F2B0>,28.mp4,0.23804075007943562,53
0,<VideoCapture 000002279E60F2D0>,29.mp4,0.24535290064147192,172
0,<VideoCapture 000002279E60F2F0>,3.mp4,0.1815920779340951,155
0,<VideoCapture 000002279E60F310>,30.mp4,0.2257820815702209,83
0,<VideoCapture 000002279E60F330>,31.mp4,0.20171184944552278,103
0,<VideoCapture 000002279E60F350>,32.mp4,0.2448529411764706,48
0,<VideoCapture 000002279E60F370>,33.mp4,0.23900892647126074,21
0,<VideoCapture 000002279E60F390>,34.mp4,0.24465886905613424,209
0,<VideoCapture 000002279E60F3B0>,35.mp4,0.20871096258438954,70
0,<VideoCapture 000002279E60F3D0>,36.mp4,0.20667529217645453,246
0,<VideoCapture 000002279E60F3F0>,37.mp4,0.24076961260297902,251
0,<VideoCapture 000002279E60F410>,38.mp4,0.20501832385435528,136
0,<VideoCapture 000002279E60F430>,4.mp4,0.22321001565490428,8
0,<VideoCapture 000002279E60F450>,5.mp4,0.24136173019114693,7
0,<VideoCapture 000002279E60F470>,6.mp4,0.24555949558513696,60
0,<VideoCapture 000002279E60F490>,7.mp4,0.2393152013297707,104
0,<VideoCapture 000002279E60F4B0>,8.mp4,0.1098340386784671,18
0,<VideoCapture 000002279E60F4D0>,9.mp4,0.21176475875266698,69
1,<VideoCapture 000002279E60F4F0>,1.mp4,0.2463066647755388,3
1,<VideoCapture 000002279E60F510>,10.mp4,0.222229424327131,16
1,<VideoCapture 000002279E60F530>,11.mp4,0.15241238832053347,3
1,<VideoCapture 000002279E60F550>,12.mp4,0.24985495736235266,3
1,<VideoCapture 000002279E60F570>,13.mp4,0.22371864241284045,1
1,<VideoCapture 000002279E60F590>,14.mp4,0.24111285168238242,15
1,<VideoCapture 000002279E60F5B0>,15.mp4,0.195977080916879,4
1,<VideoCapture 000002279E60F5D0>,16.mp4,0.24784555056479504,18
1,<VideoCapture 000002279E60F5F0>,17.mp4,0.25,0
1,<VideoCapture 000002279E60F610>,18.mp4,0.24499311553329584,6
1,<VideoCapture 000002279E60F630>,19.mp4,0.24030563811450012,6
1,<VideoCapture 000002279E60F650>,2.mp4,0.24304845101698047,1
1,<VideoCapture 000002279E60F670>,20.mp4,0.23009125101515018,27
1,<VideoCapture 000002279E60F690>,21.mp4,0.2438970828069092,7
1,<VideoCapture 000002279E60F6B0>,22.mp4,0.24639176149669134,6
1,<VideoCapture 000002279E60F6D0>,23.mp4,0.24793787060625316,6
1,<VideoCapture 000002279E60F6F0>,24.mp4,0.23570141842915895,6
1,<VideoCapture 000002279E60F710>,25.mp4,0.22368421052631576,8
1,<VideoCapture 000002279E60F730>,26.mp4,0.2102353324910547,57
1,<VideoCapture 000002279E60F750>,27.mp4,0.23782091146691198,40
1,<VideoCapture 000002279E60F770>,28.mp4,0.2427703825827981,4
1,<VideoCapture 000002279E60F790>,29.mp4,0.21002429087407853,14
1,<VideoCapture 000002279E60F7B0>,3.mp4,0.25,0
1,<VideoCapture 000002279E60F7D0>,30.mp4,0.24306491867689484,3
1,<VideoCapture 000002279E60F7F0>,31.mp4,0.24975657231036108,3
1,<VideoCapture 000002279E60F810>,32.mp4,0.23046797029044136,8
1,<VideoCapture 000002279E60F830>,33.mp4,0.22848190576273286,11
1,<VideoCapture 000002279E60F850>,34.mp4,0.25,0
1,<VideoCapture 000002279E60F870>,35.mp4,0.234375,12
1,<VideoCapture 000002279E60F890>,36.mp4,0.19356742923277082,25
1,<VideoCapture 000002279E60F8B0>,37.mp4,0.23816968255314816,13
1,<VideoCapture 000002279E60F8D0>,38.mp4,0.23552364172969836,24
1,<VideoCapture 000002279E60F8F0>,39.mp4,0.24676539388466903,16
1,<VideoCapture 000002279E60F910>,4.mp4,0.21242999305049415,11
1,<VideoCapture 000002279E60F930>,40.mp4,0.24329252231487214,5
1,<VideoCapture 000002279E60F950>,41.mp4,0.225006845235967,9
1,<VideoCapture 000002279E60F970>,42.mp4,0.20141213428171773,9
1,<VideoCapture 000002279E60F990>,43.mp4,0.23061701264997578,56
1,<VideoCapture 000002279E60F9B0>,44.mp4,0.21250000000000002,32
1,<VideoCapture 000002279E60F9D0>,45.mp4,0.23928240301724948,11
1,<VideoCapture 000002279E60F9F0>,5.mp4,0.24665807209256735,1
1,<VideoCapture 000002279E60FA10>,6.mp4,0.22936848563732937,28
1,<VideoCapture 000002279E60FA30>,7.mp4,0.1858230975535187,26
1,<VideoCapture 000002279E60FA50>,8.mp4,0.24199911496263482,4
1,<VideoCapture 000002279E60FA70>,9.mp4,0.22621808611831024,3
